track_name,release_year,popularity,energy,danceability,valence,tempo,artist_name
對不起 謝謝,2005,36,0.418,0.574,0.155,124.113,Eason Chan
El amor,1979,55,0.531,0.408,0.446,98.025,José Luis Perales
Forty Four,1958,28,0.441,0.757,0.59,140.141,Howlin' Wolf
Explode Coração - Ao Vivo,2010,41,0.301,0.517,0.331,75.318,Maria Bethânia
Popozuda Rock 'N' Roll,2000,38,0.849,0.836,0.728,130.246,Defalla
Tuesday's Dead,1971,29,0.781,0.604,0.879,96.082,Yusuf / Cat Stevens
Morado,2021,0,0.696,0.881,0.781,97.002,J Balvin
El Pibe de los Astilleros,1991,60,0.699,0.618,0.61,112.33,Patricio Rey y sus Redonditos de Ricota
Primadonna,2012,47,0.689,0.66,0.427,127.98,MARINA
Where Are You,1975,20,0.154,0.553,0.248,99.983,Don Williams
Amar Sin Ser Amada,2005,46,0.909,0.78,0.797,120.026,Thalia
Al Aire,2020,69,0.89,0.459,0.69,180.088,Morat
Tu Mamá Te Mató,2015,43,0.49,0.568,0.255,130.021,Camila Moreno
Et bailler et dormir,1955,9,0.233,0.585,0.586,134.044,Charles Aznavour
Ecos de sociedad,1973,16,0.527,0.489,0.842,153.296,José Luis Perales
Bridges,2014,45,0.634,0.389,0.27,169.539,Broods
Careless Whisper - Remastered,2006,50,0.641,0.596,0.792,76.59,George Michael
Nena,1986,45,0.544,0.767,0.781,105.161,Miguel Bosé
Markazhi Thingal,1999,31,0.651,0.422,0.195,98.765,Unnikrishnan
City of Isabel,1992,36,0.0861,0.212,0.0718,128.534,Vangelis
Испортить вам пати!,2010,29,0.915,0.748,0.932,89.956,Noize MC
Lucky Man - 2012 Stereo Mix,1970,27,0.49,0.349,0.566,154.449,"Emerson, Lake & Palmer"
Verliebt verliebt,2015,46,0.729,0.756,0.843,125.996,Andreas Gabalier
Calvary,2014,50,0.558,0.382,0.215,136.575,Hillsong Worship
"Die Walküre, WWV 86b: 3. Aufzug: 3. Szene: Loge, hör!",1937,0,0.154,0.224,0.0826,66.962,Richard Wagner
Scenario,1991,61,0.6,0.795,0.633,101.78,A Tribe Called Quest
Proud Mary,1976,50,0.558,0.689,0.607,120.691,Creedence Clearwater Revival
Danger On the Track,1965,14,0.935,0.295,0.558,193.569,Europe
Volta por Baixo - Ao Vivo,2020,65,0.771,0.531,0.467,123.414,Henrique & Juliano
Loving You,1957,39,0.0432,0.254,0.357,172.872,Elvis Presley
La Bala,2010,55,0.733,0.474,0.483,78.831,Calle 13
014 - und das Bergmonster - Teil 25,1980,37,0.506,0.605,0.269,83.794,Die drei ???
Decisión,2011,45,0.833,0.594,0.933,170.084,Movimiento Original
Paravashanadenu,2011,46,0.299,0.635,0.402,83.983,Sonu Nigam
Kiss This,2000,56,0.706,0.765,0.669,116.02,Aaron Tippin
ルーキー,2011,42,0.95,0.459,0.141,139.92,Sakanaction
BODY,2016,57,0.817,0.759,0.389,140.028,MINO
Motherless Child,1977,35,0.806,0.663,0.75,114.531,Boney M.
Messa da Requiem: 2. Confutatis,1954,1,0.215,0.153,0.0667,68.659,Giuseppe Verdi
Como Tu Enemigo,2009,37,0.882,0.656,0.909,90.982,Chanchi y Los Autenticos
I vecchi,1981,19,0.216,0.346,0.287,140.832,Claudio Baglioni
Introduction: Also Sprach Zarathustra (Theme From 2001: A Space Odyssey) - Live,1972,22,0.168,0.331,0.0588,71.56,Elvis Presley
Salgamos (feat. Andy Rivera & Maluma),2013,48,0.552,0.841,0.867,79.998,Kevin Roldan
Kruska,2010,37,0.703,0.629,0.845,171.861,Miligram
Me Cambio,2006,47,0.938,0.497,0.559,137.539,Allison
"Ruby, My Dear",1964,1,0.123,0.661,0.063,68.65,Thelonious Monk
Mai Ri Main Kase Kahoon,1970,16,0.412,0.388,0.45,137.511,Lata Mangeshkar
Sinbad The Sailor,2010,47,0.871,0.592,0.526,134.921,Farhan Akhtar
Train Of Consequences - Remastered 2004,1994,50,0.946,0.555,0.568,114.755,Megadeth
"Brandenburg Concerto No. 5 in D Major, BWV 1050: II. Affettuoso",1966,15,0.135,0.118,0.108,54.651,Johann Sebastian Bach
Yağmurlar,2020,51,0.594,0.545,0.113,131.929,Feride Hilal Akın
Soap,2015,70,0.689,0.595,0.213,168.112,Melanie Martinez
Piece of Pie - 2017 Remaster,1992,40,0.934,0.378,0.387,150.815,Stone Temple Pilots
Sugar,2021,8,0.786,0.729,0.87,120.068,Maroon 5
Paris au mois d'août,1966,42,0.368,0.208,0.415,83.897,Charles Aznavour
Pfrancing,1961,29,0.383,0.577,0.563,137.9,Miles Davis
Coucou,2016,53,0.906,0.847,0.849,92.027,Jul
Manasuna Mansuga,1996,40,0.256,0.411,0.213,175.705,Hariharan
Is er een ander (tussen jou en mij)?,1973,23,0.47,0.327,0.549,107.544,John Terra
No Hands (feat. Roscoe Dash & Wale),2010,78,0.595,0.76,0.361,131.497,Waka Flocka Flame
On Top,2012,54,0.757,0.528,0.304,93.007,Flume
#Beautiful,2014,50,0.757,0.678,0.452,106.924,Mariah Carey
In And Out Of Love - Mixed,2019,5,0.711,0.502,0.367,126.017,Armin van Buuren
What You Wanna Do,2021,49,0.56,0.523,0.124,86.123,Lil Tjay
There Is No Greater Lover (02-13-47),1955,3,0.0474,0.373,0.174,35.32,Billie Holiday
The Ghost In You,1984,53,0.529,0.589,0.641,123.487,The Psychedelic Furs
Amor Perfeito,2019,61,0.45,0.411,0.445,90.061,Fernando & Sorocaba
Where Did U Go,2013,44,0.829,0.606,0.786,163.942,G.E.M.
I'm A Man - Stereo Version,1965,26,0.744,0.558,0.753,104.514,The Who
Te amo e não te quero,1997,36,0.646,0.668,0.721,120.236,Bruno & Marrone
Te Sigo Amando,1996,30,0.227,0.51,0.593,125.631,Juan Gabriel
Zara Man Ki Kewadiya Khol,1960,4,0.297,0.576,0.884,139.563,Mohammed Rafi
She Even Woke Me Up To Say Goodbye,1970,35,0.379,0.386,0.371,88.506,Jerry Lee Lewis
PIN,2018,47,0.842,0.631,0.423,169.953,TACONAFIDE
Can Yoldaşım,1995,31,0.707,0.669,0.825,127.314,Ahmet Kaya
Nevermore - Remastered 2011,1974,36,0.398,0.366,0.181,117.705,Queen
Çelişki,2006,35,0.688,0.645,0.791,163.983,Gülşen
Centuries,2015,82,0.858,0.393,0.56,176.042,Fall Out Boy
Love & Liberte,1993,41,0.402,0.608,0.401,80.325,Gipsy Kings
"Honey, Honey",1993,42,0.841,0.431,0.766,140.616,ABBA
Apni To Jaise Taise Dialogue,1981,30,0.681,0.641,0.884,108.508,Kishore Kumar
Points of Authority,2000,45,0.97,0.512,0.427,94.952,Linkin Park
When The Stars Go Blue,2001,55,0.208,0.59,0.293,90.084,Ryan Adams
トリコ,2018,55,0.799,0.632,0.719,90.016,Nissy
Heaven Knows,2014,59,0.815,0.543,0.579,83.992,The Pretty Reckless
Strobe - Michael Woods 2014 Remix,2014,24,0.945,0.49,0.222,126.0,deadmau5
Bla Bla Bla,1999,67,0.833,0.821,0.961,132.975,Gigi D'Agostino
O Bater Do Tambor,1979,20,0.668,0.473,0.868,144.322,Gal Costa
