track_name,release_year,popularity,energy,danceability,valence,tempo,artist_name
Stars Of Heaven,1990,14,0.243,0.54,0.676,80.951,The Radios
De Mí Enamórate,2006,59,0.925,0.459,0.669,94.241,Tito Nieves
Don't Mind,2011,39,0.811,0.613,0.266,174.032,Mary J. Blige
Sweet Instigator,2001,33,0.606,0.476,0.308,148.075,Ozark Henry
Cruisin',1995,56,0.525,0.407,0.329,74.34,D'Angelo
Steeplechase - Original Take 1,1955,12,0.46,0.469,0.901,174.885,Charlie Parker
"World, Hold On - Radio Edit 2",2006,38,0.924,0.724,0.611,126.998,Bob Sinclar
EL BAÑO (feat. Bad Bunny),2018,67,0.842,0.719,0.534,90.017,Enrique Iglesias
טירוף מתוק,2018,35,0.636,0.758,0.631,91.942,Eyal Golan
Waitin',2002,54,0.587,0.872,0.873,98.058,Los Pericos
Gangstas Make The World Go Round,1996,43,0.575,0.754,0.561,180.389,Westside Connection
Blame It on Me,2014,69,0.757,0.537,0.421,103.882,George Ezra
078 - Das leere Grab - Teil 10,1998,35,0.56,0.683,0.691,86.415,Die drei ???
"Medication (ft. Stephen Marley, Wiz Khalifa, Ty Dolla $ign) - Remix",2018,59,0.585,0.813,0.847,84.995,Damian Marley
Shree Ganeshay Dheemahi,2001,37,0.285,0.609,0.531,139.898,Shankar Mahadevan
Personal Jesus - Acoustic,2004,43,0.246,0.668,0.359,138.099,Depeche Mode
"Rhapsody on a Theme of Paganini, Op.43: Variation VI: L'istesso tempo",1945,0,0.174,0.428,0.302,47.059,Sergei Rachmaninoff
"Piano Concerto No. 1 in B-Flat Minor, Op. 23, TH 55: 1. Allegro non troppo e molto maestoso - Allegro con spirito - Live",1996,37,0.145,0.256,0.069,87.74,Pyotr Ilyich Tchaikovsky
Si Me Tenías,2013,70,0.428,0.517,0.27,76.773,Mijares
No Es Nada Extraño (It's Not Unusual),1965,13,0.811,0.575,0.929,98.62,Dyango
Ich könnte deine Mutter oder deine Schwester sein,2013,49,0.819,0.761,0.635,134.95,K.I.Z
Cocaine,1995,34,0.436,0.699,0.66,105.223,Eric Clapton
You've Got A Hold On Me,1978,23,0.407,0.78,0.793,127.899,Don Williams
Close,2016,54,0.623,0.653,0.401,123.999,Nick Jonas
Born To Die,2012,56,0.636,0.18,0.39,75.223,Lana Del Rey
Live At E's,1992,45,0.836,0.727,0.585,91.181,Sublime
Mr. Brownie,1979,11,0.784,0.501,0.918,105.898,Héctor Lavoe
Me Estoy Muriendo De Amor,1992,34,0.523,0.708,0.895,174.067,Jerry Rivera
Scene Four - Don't You Ever Forget About Me,2012,49,0.684,0.493,0.364,164.946,Sleeping With Sirens
Gum Hai Kisi Ke Pyar Mein,1999,32,0.312,0.515,0.488,116.772,Kishore Kumar
"Mother You, Smother You - Stereo Version",1967,33,0.627,0.66,0.768,120.195,The Supremes
SOLO,2018,74,0.642,0.751,0.388,95.045,JENNIE
Me Preocupa Sin Ti,2001,39,0.959,0.308,0.748,184.211,Leo Mattioli
Good Times - 2018 Remaster,1979,54,0.503,0.869,0.914,112.664,CHIC
Coralcaraza,1994,26,0.347,0.64,0.502,118.053,Babasónicos
Truth,2005,18,0.818,0.516,0.57,100.026,Seether
Quando - 2021 Remaster,1991,51,0.475,0.594,0.301,159.777,Pino Daniele
You Stepped Out Of A Dream,1953,27,0.33,0.518,0.345,119.281,Nat King Cole
The Light,2016,31,0.794,0.679,0.441,100.999,The Toys
Esquinas,1982,21,0.135,0.335,0.247,97.513,Djavan
Hamaca,1963,10,0.25,0.32,0.478,93.976,Javier Solís
Se Olha No Espelho - Ao Vivo,2016,52,0.752,0.346,0.621,207.148,Maiara & Maraisa
Sempre Te Amei,2002,35,0.683,0.793,0.486,111.119,Gian & Giovani
孤獨患者(國),2011,40,0.497,0.348,0.207,136.309,Eason Chan
I Took A Pill In Ibiza - Seeb Remix,2020,4,0.806,0.671,0.646,104.39,Mike Posner
"Violin Sonata in G Minor, D. 408, Op. 137 No. 3: II. Andante",1950,2,0.0175,0.186,0.242,82.079,Franz Schubert
"The Art of the Fugue, BWV 1080: Contrapunctus I - Excerpts",1962,12,0.0145,0.0919,0.141,82.476,Johann Sebastian Bach
End Game,2017,72,0.589,0.649,0.151,159.073,Taylor Swift
Unchained Melody,1995,49,0.289,0.338,0.181,104.802,Air Supply
Ela É do Tipo,2019,62,0.398,0.632,0.633,90.695,MC Kevin o Chris
Disgusting,2017,47,0.659,0.861,0.471,135.027,Ernia
"St. Matthew Passion, BWV 244 - Part One: No.4e Evangelist, Jesus: ""Da das Jesus merkete""",1952,2,0.114,0.193,0.131,88.838,Johann Sebastian Bach
"Ballade No. 4 in F Minor, Op. 52",1928,3,0.146,0.333,0.0807,137.828,Frédéric Chopin
What Lovers Do,2020,4,0.605,0.797,0.448,110.024,Maroon 5
Love Generation,2006,44,0.801,0.72,0.527,128.098,Bob Sinclar
Zorongo Gitano,1965,7,0.206,0.517,0.378,86.476,Paco de Lucía
Raadha Krishna,1978,9,0.72,0.306,0.741,100.826,S. P. Balasubrahmanyam
"It's Got To Be Love - Live At Mister Kelly's, Chicago/1957 / Take 1",1957,8,0.216,0.674,0.595,122.034,Sarah Vaughan
"3 Waltzes, Op. 64: No. 3 in A-Flat Major",1946,4,0.0869,0.129,0.185,61.027,Frédéric Chopin
Aayegi Har Pal Tujhe Meri Yaad,1995,21,0.716,0.344,0.77,77.928,Kumar Sanu
She Fades Away,1989,26,0.456,0.433,0.483,93.14,Alphaville
Al que es Digno,1996,44,0.875,0.506,0.439,110.075,Marcos Witt
Cadaveria,2014,49,0.896,0.441,0.5,65.971,Mägo de Oz
Loquita,2015,57,0.694,0.698,0.926,144.018,Marama
Borracho de Amor,2013,71,0.477,0.646,0.941,153.91,Edwin Luna y La Trakalosa de Monterrey
All I Have (feat. LL Cool J),2002,60,0.669,0.701,0.446,83.066,Jennifer Lopez
Dance Again (feat. Pitbull),2012,45,0.856,0.792,0.714,127.988,Jennifer Lopez
Goodbye Stranger - 2010 Remastered,1979,46,0.668,0.42,0.338,125.391,Supertramp
Ask Me Now - Alternate Take / Remastered 1998,1952,11,0.283,0.588,0.132,120.188,Thelonious Monk
Wie schön du bist,2015,63,0.532,0.366,0.141,88.05,Sarah Connor
Cello,1995,32,0.0232,0.179,0.0325,68.426,Slowdive
No Podrás,2016,59,0.882,0.663,0.789,117.717,Cristian Castro
El Amor de Mi Vida,2019,70,0.503,0.692,0.786,129.778,La Adictiva Banda San José de Mesillas
Bem Querer - Live 1975,1975,24,0.272,0.304,0.353,76.561,Chico Buarque
Playing Games (with Bryson Tiller) - Extended Version,2019,76,0.408,0.726,0.459,115.918,Summer Walker
The Hum - Short Edit,2015,45,0.947,0.729,0.209,130.005,Dimitri Vegas & Like Mike
Wrecking Ball,2008,71,0.797,0.664,0.284,97.004,Mother Mother
Hero Of War,2008,47,0.418,0.644,0.254,77.106,Rise Against
I Got It Bad (And That Ain't Good),1956,14,0.193,0.608,0.108,69.392,Bill Evans
Doe Wat Je Altijd Deed,2008,35,0.427,0.33,0.168,179.922,Marco Borsato
Träumerei from Kinderszenen,1952,3,0.15,0.176,0.0866,81.284,Robert Schumann
"Sonate pour violon et piano No. 35 in A Major, K. 526: III. Presto",1938,0,0.262,0.453,0.691,137.574,Wolfgang Amadeus Mozart
Planet of Sound,1991,36,0.99,0.43,0.049,154.838,Pixies
龍舌蘭,2018,43,0.583,0.502,0.215,135.931,Eason Chan
"Across the Stars (Love Theme from ""Star Wars: Attack of the Clones"")",2002,23,0.13,0.0934,0.0664,79.936,John Williams
Ahora que te vas,2003,44,0.468,0.296,0.12,78.832,Luis Miguel
"Any Time, Any Place",1993,59,0.232,0.571,0.207,128.785,Janet Jackson
Prometí Olvidarte,1998,47,0.506,0.639,0.929,89.854,El Poder Del Norte
Cowboy Dan,1997,43,0.639,0.394,0.212,172.95,Modest Mouse
Wake Up,2015,62,0.798,0.689,0.0387,105.01,NF
To The Top - Radio Version,2010,45,0.736,0.812,0.628,119.879,Gentleman
Maafkanlah,2007,35,0.489,0.517,0.244,83.785,Chrisye
Here I Am (Just When I Thought I Was Over You),2014,46,0.354,0.389,0.204,137.399,Air Supply
I Choose To Love You,2012,49,0.574,0.685,0.3,99.997,Hyolyn
"Viola da gamba Sonata in D Major, BWV 1028: I. Adagio - II. Allegro",1950,0,0.171,0.24,0.333,92.442,Johann Sebastian Bach
Nuestro Amor Es el Más Bello del Mundo (I Believe There's Nothing Stronger Than Our Love),1976,28,0.746,0.46,0.535,153.833,José José
Subterraneans - 2017 Remaster,1977,40,0.159,0.158,0.0597,132.245,David Bowie
Последняя дискотека,2017,46,0.526,0.892,0.582,109.988,Monetochka
Cara O Cruz,2015,42,0.66,0.416,0.347,119.745,Luciano Pereyra
Kerosene,2005,61,0.92,0.628,0.808,126.998,Miranda Lambert
Зелёный чемодан,2013,41,0.703,0.658,0.591,139.999,Max Korzh
Menor Abandonado,1987,22,0.796,0.507,0.792,96.222,Zeca Pagodinho
Soledad (Solidao),1988,19,0.41,0.404,0.245,69.15,Ana Gabriel
That's Life,1969,49,0.443,0.6,0.456,107.303,James Brown
Cosas Que Suenan A...,2009,48,0.775,0.586,0.772,148.968,Maldita Nerea
Switch Lanes,2013,62,0.604,0.717,0.749,67.029,Rittz
Desde Hace un Sueño,2012,39,0.741,0.585,0.168,115.993,No Te Va Gustar
La Carretera,2017,64,0.686,0.747,0.913,122.005,Prince Royce
I Walk the Line,1963,14,0.454,0.544,0.778,170.725,The Everly Brothers
Tang Aa Chuke Hain,1958,2,0.247,0.416,0.556,151.582,Asha Bhosle
Na Aadmi Ka Koi Bharosa,1968,13,0.246,0.492,0.459,87.364,Mohammed Rafi
"Mundo Animal - Live From Anhembi, São Paulo, Brazil/1995; 2006 Remaster",2006,40,0.92,0.462,0.46,152.578,Mamonas Assassinas
Kartell (feat. Azet & Nash),2016,52,0.702,0.693,0.546,101.776,Zuna
Do You? 우리 사랑하기를,2002,40,0.0465,0.529,0.213,122.493,Yiruma
Mis Alas Son Tus Hojas,2008,37,0.937,0.566,0.749,155.015,Melendi
A Change Is Gonna Come - Mono,1965,15,0.32,0.49,0.244,84.129,Otis Redding
Muchacha,1990,20,0.472,0.786,0.914,96.379,Agua Marina
Popurrí Bravío,1998,39,0.464,0.374,0.517,85.482,Alejandro Fernández
You Look Good In My Shirt,2002,33,0.871,0.646,0.842,116.977,Keith Urban
That's All - 2007 Remaster,1983,65,0.627,0.697,0.797,87.695,Genesis
Hay Ojitos,1991,35,0.376,0.771,0.904,125.044,Cornelio Reyna
ileso,2019,60,0.827,0.747,0.958,151.015,Romeo Santos
Medias Negras,1990,37,0.408,0.713,0.526,96.088,Joaquín Sabina
ラストダンス,2019,50,0.837,0.495,0.82,176.096,Eve
"La Traviata / Act 2: ""Annina, donde vieni?... O mio rimorso!""",1977,29,0.285,0.446,0.376,104.586,Giuseppe Verdi
Messa da Requiem: 2. Quid sum miser,1954,1,0.165,0.199,0.039,98.45,Giuseppe Verdi
Aquellos Años Locos (Bonus Track),2002,53,0.914,0.636,0.6,114.111,El Canto Del Loco
I'm Telling Tim,1997,36,0.986,0.336,0.604,100.233,NOFX
I Could Write a Book,1989,53,0.228,0.453,0.471,127.497,"Harry Connick, Jr."
Don't Go Away Mad (Just Go Away),1989,58,0.958,0.286,0.564,118.264,Mötley Crüe
Mañana,2014,38,0.924,0.359,0.481,176.972,La Beriso
Pot-Pourri: Beijo Doce / Só Alegria - Ao Vivo,2007,40,0.801,0.426,0.54,194.994,Pixote
Embryonic Journey,1967,53,0.354,0.293,0.487,107.634,Jefferson Airplane
"Everything I Have Is Yours - ""Velvet Mood"" Version",1956,14,0.126,0.575,0.169,52.595,Billie Holiday
I Zimbra - 2005 Remaster,1979,44,0.743,0.67,0.93,113.883,Talking Heads
All the World Is Love - 2011 Remaster,2011,1,0.58,0.24,0.714,201.861,The Hollies
Ghar Se Nikalte,2009,40,0.663,0.7,0.706,117.069,Udit Narayan
Girls Just Want to Have Fun,2014,69,0.788,0.707,0.746,120.465,Cyndi Lauper
El Cartel de a Kilo,1995,34,0.615,0.912,0.953,117.463,Los Tucanes De Tijuana
Caseta de cobro,1988,35,0.654,0.415,0.775,114.036,El Tri
La Mano de Dios,1961,7,0.356,0.342,0.578,74.111,Javier Solís
Yeh Mausam Aaya Hai,1975,11,0.429,0.38,0.473,116.114,Kishore Kumar
Waiting In Vain - US Version,1984,38,0.5,0.736,0.962,78.907,Bob Marley & The Wailers
King - Acoustic,2020,1,0.195,0.451,0.286,93.706,Years & Years
Atrapado en Tus Redes,2007,37,0.505,0.645,0.766,152.623,Marcos Castelló Kaniche
Ayiram Thamarai - Alaigal Oyvatillai / Soundtrack Version,1981,41,0.355,0.537,0.858,142.476,S. Janaki
Hai Bas Ke Har Ek Unke Ishare,1955,4,0.496,0.545,0.857,152.8,Mohammed Rafi
A Melhor Forma - Ao Vivo,1997,33,0.837,0.371,0.786,142.604,Titãs
Girls,2013,59,0.911,0.662,0.898,108.025,The 1975
Grave Architecture,1995,45,0.791,0.584,0.293,110.157,Pavement
Teenage Frankenstein,1986,32,0.884,0.591,0.684,130.147,Alice Cooper
Seguía Lloviendo Afuera,1990,44,0.488,0.73,0.776,125.186,Emmanuel
Down in the Willow Garden,1958,39,0.15,0.497,0.0965,101.37,The Everly Brothers
Night,1975,45,0.892,0.245,0.714,146.756,Bruce Springsteen
"Violin Sonata in E Major, BWV 1016: II. Allegro",1954,0,0.386,0.536,0.776,92.795,Johann Sebastian Bach
Don't Forget Me,2002,62,0.705,0.499,0.36,123.909,Red Hot Chili Peppers
Peace Sells - Remastered,1986,53,0.922,0.303,0.695,138.393,Megadeth
ראיתי בך אישה,2002,17,0.846,0.518,0.89,105.817,Eyal Golan
Kuchh Log Mohabbat Karke,1985,12,0.481,0.622,0.813,140.563,Kishore Kumar
Papa Cologne,2005,45,0.558,0.724,0.696,131.229,Parokya Ni Edgar
"Le nozze di Figaro, K. 492, Act III Scene 14: Amanti costanti (Figaro, Susanna, Conte, Contessa, Chorus)",1955,9,0.0681,0.386,0.228,68.283,Wolfgang Amadeus Mozart
Howl,2009,53,0.873,0.58,0.297,130.013,Florence + The Machine
我的快樂時代,2010,24,0.559,0.233,0.268,180.844,Eason Chan
"Requiem, KV. 626: III. Sequentia - Tuba mirum",1954,0,0.149,0.193,0.15,170.297,Wolfgang Amadeus Mozart
Shake Rattle And Roll,1975,27,0.714,0.605,0.907,94.853,Jerry Lee Lewis
Mecbursun,1994,60,0.426,0.682,0.922,87.88,Sertab Erener
"...And to Those I Love, Thanks for Sticking Around",2020,80,0.511,0.792,0.111,113.983,$uicideboy$
Armaan Tha Humen Jinka,1968,6,0.309,0.544,0.819,121.381,Lata Mangeshkar
All Time Low,2010,56,0.615,0.689,0.783,134.036,The Wanted
"Rigoletto, Act I, Scene 2: Riedo!...perche? ...Silenzio! (Rigoletto/Borsa/Ceprano/Marullo)",1956,7,0.0612,0.448,0.258,115.968,Giuseppe Verdi
Why - Radio Version,2000,29,0.659,0.65,0.508,140.0,Whatever
"Piano Concerto No. 17 in G Major, K. 453: III. Allegretto",1952,0,0.206,0.35,0.338,81.225,Wolfgang Amadeus Mozart
Solo Tú,1976,42,0.557,0.31,0.372,142.16,Camilo Sesto
17 Años,1976,25,0.429,0.697,0.961,119.36,Juan Gabriel
Mona June (feat. Angela Hunte),2012,57,0.608,0.49,0.512,163.951,Slightly Stoopid
Hallelujah,2006,51,0.78,0.56,0.596,172.2,Bamboo
The Demon God,1997,39,0.588,0.351,0.111,99.802,Joe Hisaishi
"Divertimento I, K.136: Presto",1998,27,0.131,0.531,0.561,77.323,Wolfgang Amadeus Mozart
Interstellar,2015,45,0.646,0.493,0.581,84.819,Guè Pequeno
Chand Raat Tum Ho Saath,1962,22,0.572,0.361,0.729,83.141,Lata Mangeshkar
Turn up the Night - 2008 Remaster,1981,33,0.94,0.185,0.644,180.539,Black Sabbath
El Caballo Blanco,1950,32,0.547,0.329,0.813,167.512,José Alfredo Jimenez
King Of The Mountain,1985,30,0.953,0.459,0.169,142.711,KISS
Zamba Como las de Antes,1995,25,0.17,0.704,0.354,127.72,Duo Coplanacu
Breathe - Radio Edit [Radio Edit],1997,29,0.877,0.705,0.593,105.088,Kylie Minogue
Dalan Liyane,2020,55,0.636,0.668,0.408,130.019,Happy Asmara
Como Lo Tienes Tu,2005,45,0.906,0.474,0.82,166.03,Pereza
"Swan Lake, Op.20, Act I: 9. Finale (Andante)",1976,40,0.189,0.188,0.169,83.428,Pyotr Ilyich Tchaikovsky
Go Jovanotti Go,1988,20,0.609,0.831,0.886,147.721,Jovanotti
Radiate,2013,54,0.417,0.604,0.576,180.024,Jack Johnson
Writing On The Walls,2006,59,0.959,0.358,0.171,91.938,Underoath
Ya Basta,2006,34,0.542,0.929,0.961,132.188,Frank Reyes
Narrow Daylight,2004,47,0.193,0.592,0.258,87.171,Diana Krall
She's Mine,1994,32,0.401,0.557,0.361,104.969,Fito Paez
Stay on These Roads - Early Version,1988,14,0.641,0.586,0.163,103.99,a-ha
She Looks to Me,2006,53,0.766,0.577,0.452,88.013,Red Hot Chili Peppers
"Jo Wada Kiya Woh Nibhana Padega, Pt. 1",1963,16,0.621,0.344,0.556,78.899,Mohammed Rafi
Goldie,2013,67,0.849,0.697,0.734,81.956,A$AP Rocky
El Bálsamo De Fierabras,1998,34,0.808,0.57,0.502,132.394,Mägo de Oz
Beginnings,1975,36,0.741,0.496,0.53,109.37,Chicago
SoulFly,2021,71,0.517,0.498,0.405,109.716,Rod Wave
I Want To Learn About Love (12-18-47),1948,1,0.244,0.503,0.503,122.606,Ella Fitzgerald
Holy Is The Lord - Arriving Album Version,2011,47,0.708,0.467,0.422,83.954,Chris Tomlin
Roll On (Eighteen Wheeler),1984,53,0.456,0.584,0.64,131.814,Alabama
Man of Constant Sorrow - Live on 'Folk Songs and More Folk Songs' - March 1963,1966,39,0.477,0.54,0.342,107.727,Bob Dylan
Nene Nine,1997,30,0.343,0.69,0.214,91.084,K. J. Yesudas
Casa No Campo,1989,12,0.356,0.353,0.122,179.535,Elis Regina
Acem Kızı,1997,40,0.326,0.451,0.3,84.435,Neşet Ertaş
"Fantasie in C Major, Op. 17: I. Durchaus phantastisch und leidenschaftlich vorzutragen",1962,16,0.0699,0.236,0.0548,66.142,Robert Schumann
Caribbean Blue,1991,55,0.319,0.386,0.661,157.614,Enya
"I. Allegro from Concerto in A minor for Two Violins and String Orchestra, RV.522",1946,0,0.257,0.444,0.528,100.944,Antonio Vivaldi
If I Had You,1983,44,0.695,0.529,0.886,148.814,Dire Straits
Lain Dunia,2001,33,0.651,0.465,0.435,185.957,Padi
Tryin' to Get the Feeling Again,1975,39,0.553,0.274,0.252,136.488,Barry Manilow
Let's Pretend We're Married,1982,29,0.455,0.79,0.819,184.761,Prince
Aduh,2020,51,0.63,0.726,0.448,95.046,Marion Jola
1982,1986,49,0.53,0.614,0.58,108.051,Randy Travis
Oats in the Water,2012,40,0.462,0.358,0.0955,129.229,Ben Howard
"Alô, Gatinha!",1990,25,0.477,0.454,0.689,156.575,Zeca Pagodinho
El Que Quiera Entender Que Entienda,2000,52,0.867,0.434,0.199,151.689,Mägo de Oz
Up,2021,0,0.795,0.868,0.819,166.0,Cardi B
Streets Is Callin',2000,45,0.597,0.67,0.608,86.629,B2K
Imagination - Remastered/1998,1960,25,0.155,0.528,0.412,81.564,Dean Martin
I Left a Woman Waiting,1977,29,0.284,0.293,0.344,150.793,Leonard Cohen
"Goldberg Variations, BWV 988: Variation 5 a 1 ovvero 2 Clav.",1981,44,0.208,0.409,0.869,82.027,Johann Sebastian Bach
Here With Me,2012,60,0.731,0.5,0.112,135.97,The Killers
Día tras día,1996,36,0.629,0.388,0.712,186.443,Pesado
Blurred Lines,2020,2,0.511,0.857,0.865,119.992,Robin Thicke
The Greeks Don't Want No Freaks - 2013 Remaster,1979,33,0.891,0.634,0.94,136.266,Eagles
I Ran All The Way Home,1951,8,0.0907,0.545,0.444,85.765,Dean Martin
Need Your Love so Bad - Take 3,1969,23,0.238,0.412,0.189,149.908,Fleetwood Mac
"Moonchild - Including ""The Dream"" and ""The Illusion""",1969,48,0.0368,0.447,0.0515,132.564,King Crimson
Kaash Aisa Hota,2019,58,0.391,0.449,0.266,74.856,Darshan Raval
Sin ti,1985,35,0.455,0.677,0.44,144.899,Hombres G
"Invention No. 10 in G Major, BWV 781",1963,15,0.219,0.4,0.948,118.687,Johann Sebastian Bach
Les derniers seront les premiers,1995,41,0.551,0.63,0.349,125.178,Céline Dion
Giulio Cesare,1986,33,0.708,0.566,0.522,85.39,Antonello Venditti
Dreams Never End - 2015 Remaster,1981,52,0.913,0.606,0.817,146.15,New Order
Bota A Mão Nas Cadeiras - Ao Vivo,1971,20,0.654,0.616,0.899,95.924,Gal Costa
I Let Love In - 2011 Remastered Version,1994,44,0.696,0.224,0.328,177.474,Nick Cave & The Bad Seeds
"I Put A Spell On You (Fifty Shades of Grey) - From ""Fifty Shades Of Grey"" Soundtrack",2015,66,0.383,0.563,0.357,173.984,Annie Lennox
Sonnet to Hank Cinq,1956,14,0.228,0.6,0.702,82.109,Duke Ellington
Might As Well Be On Mars,1991,43,0.713,0.386,0.11,135.844,Alice Cooper
I've Got To See You Again,2002,53,0.253,0.656,0.436,98.635,Norah Jones
She Needs Me - a.k.a. He Needs Me,1959,22,0.0701,0.304,0.184,65.38,Bobby Darin
Le temps,1974,38,0.619,0.317,0.27,84.503,Charles Aznavour
I Can't Let Go,1978,27,0.569,0.441,0.71,128.194,The Hollies
If I Could Be With You (One Hour Tonight) - Instrumental,1956,12,0.295,0.517,0.435,82.032,Nat King Cole
My Only Wish (This Year),2007,4,0.715,0.667,0.678,147.064,Britney Spears
"Prélude in A Minor, M. 65",1947,0,0.0193,0.453,0.352,73.839,Maurice Ravel
Bayang Semu,2003,43,0.917,0.514,0.487,149.998,Ungu
Stay Free - Remastered,1978,45,0.858,0.517,0.669,150.645,The Clash
Yo Te Amo,1990,32,0.492,0.559,0.745,104.338,Selena
Bukan Dia Tapi Aku,2013,36,0.661,0.496,0.227,126.964,Judika
Jumper - 1998 Edit,1997,68,0.543,0.599,0.624,91.105,Third Eye Blind
Monkey Man,1969,34,0.606,0.911,0.966,126.277,Toots & The Maytals
Limit To Your Love,2011,56,0.281,0.775,0.0398,139.949,James Blake
I'm Satisfied,1976,39,0.775,0.77,0.667,125.82,James Brown
"April Come She Will - Live at Central Park, New York, NY - September 19, 1981",1982,40,0.104,0.219,0.169,83.222,Simon & Garfunkel
Religiosa,2021,64,0.54,0.726,0.456,92.114,Paloma Mami
"Nocturnes, Op. 27: No. 1 in C-Sharp Minor",1946,11,0.00949,0.352,0.0633,67.775,Frédéric Chopin
Lo Aa Gayi Unki Yaad,1966,23,0.382,0.267,0.226,93.739,Lata Mangeshkar
Heirate mich,1995,40,0.867,0.651,0.479,94.783,Rammstein
Mi Religión,2018,65,0.556,0.676,0.851,119.007,T3R Elemento
Robaste Mi Corazón,2008,22,0.908,0.356,0.861,179.904,Los Sigmas
Merise Tharalone,1986,20,0.406,0.49,0.459,131.299,S. P. Balasubrahmanyam
Here We Go Again,2009,57,0.927,0.585,0.672,142.043,Demi Lovato
Yakkle,1996,20,0.328,0.408,0.68,106.204,Joe Hisaishi
Eu Sou 157,2002,59,0.605,0.904,0.749,85.983,Racionais MC's
Drobn aufm Berg,2009,37,0.885,0.78,0.966,126.05,Die jungen Zillertaler
Bloody Well Right,1990,37,0.519,0.547,0.552,75.824,Supertramp
050 - und der verschwundene Filmstar - Teil 38,1991,34,0.72,0.587,0.623,187.893,Die drei ???
Seberapa Pantas,2009,37,0.889,0.425,0.644,162.596,Sheila On 7
Yemaya - [Tomorrowland 2019 Streaming Mix],2019,8,0.934,0.56,0.319,126.011,Dimitri Vegas & Like Mike
Pain,2006,58,0.741,0.416,0.286,160.515,Three Days Grace
Todo Me Recuerda a Ti,1984,28,0.249,0.305,0.186,67.343,Sheena Easton
Защитник свиней,2002,29,0.923,0.248,0.457,165.721,Korol i Shut
D.A.N.C.E,2007,67,0.962,0.613,0.496,113.015,Justice
Fake Love,2017,76,0.481,0.928,0.613,134.007,Drake
Ouragan,2015,6,0.201,0.348,0.358,138.013,Édith Piaf
"Se Você Chamar Eu Vou: Vai Lá, Vai Lá - Ô Irene",2002,35,0.91,0.432,0.885,144.979,Grupo Revelação
Canción de Vuelta,2011,38,0.4,0.47,0.0969,90.94,Vetusta Morla
Positive Vibration - Live At Ahoy Hallen/1978,1978,45,0.463,0.707,0.64,132.485,Bob Marley & The Wailers
Have you seen my shoes - 2021 Remaster,1981,25,0.675,0.723,0.745,125.856,Pino Daniele
Jhuki Jaye Nazar,1954,0,0.38,0.52,0.79,162.43,Lata Mangeshkar
Gangai Yamunai,1979,12,0.721,0.408,0.855,87.199,K. J. Yesudas
Мне нравится,2016,42,0.763,0.753,0.656,122.002,Egor Kreed
It's Time,2012,54,0.884,0.656,0.86,105.009,Imagine Dragons
Because We Are In Love (The Wedding Song),1981,44,0.221,0.212,0.12,101.421,Carpenters
Am I Losing You,1995,35,0.433,0.544,0.495,81.034,The Manhattans
El puchoncito,1995,41,0.686,0.754,0.971,155.809,Banda Machos
Mistreated - Remastered 2010,1974,47,0.622,0.342,0.547,126.558,Deep Purple
Jerusalem,1981,27,0.266,0.168,0.0391,115.355,Vangelis
Don't Let Me Down,2020,65,0.675,0.854,0.73,109.955,Milky Chance
Moto Méndez,1993,9,0.261,0.741,0.879,124.706,Gladys Moreno
Birds Are Chirping,2020,61,0.47,0.748,0.167,134.962,D-Block Europe
Dirty Epic - Remastered,1994,36,0.904,0.584,0.477,119.949,Underworld
Jim Beam & Voddi,2017,64,0.836,0.754,0.433,127.987,AK AUSSERKONTROLLE
Last Ones Left (Outro),2015,39,0.297,0.46,0.758,85.871,SIX60
Sos mula,2018,47,0.785,0.799,0.63,130.97,White 2115
Kaddalu Manasanna,2008,30,0.911,0.772,0.813,106.004,Kunal Ganjawala
The Eagle Will Rise Again,1978,39,0.186,0.554,0.119,82.732,The Alan Parsons Project
Bicycle Race - Remastered 2011,1981,23,0.673,0.386,0.606,168.358,Queen
Las Botas De Charro,1977,57,0.305,0.41,0.492,65.83,Vicente Fernández
Samundar Mein Nahake - Pukar / Soundtrack Version,1983,25,0.502,0.453,0.614,147.176,R. D. Burman
VENT'ANNI,2020,69,0.657,0.647,0.226,122.911,Måneskin
Music To Watch Boys To,2015,64,0.494,0.4,0.134,132.016,Lana Del Rey
All I Want Is You,1988,64,0.442,0.239,0.4,185.723,U2
083 - Meuterei auf hoher See - Teil 11,1999,37,0.922,0.535,0.464,101.8,Die drei ???
Hey Gobind Hey Gopal,1984,26,0.121,0.341,0.17,101.814,Jagjit Singh
Dance On A Volcano - Live From Palais des Sports 1977,1977,28,0.608,0.388,0.57,127.262,Genesis
Easy,1992,37,0.449,0.599,0.325,132.452,Commodores
"Coca Cola (From ""Luka Chuppi"")",2019,61,0.867,0.722,0.893,102.009,Tony Kakkar
Expreso Amazonia,1997,21,0.822,0.63,0.951,127.089,Aterciopelados
Juventud,2013,50,0.473,0.638,0.953,177.864,Los Ángeles Azules
If You Ever Wanna Be In Love - James Bay Spotify Session 2015,2015,68,0.315,0.68,0.361,117.614,James Bay
Carny Town,1964,17,0.549,0.63,0.83,71.496,Elvis Presley
064 - Geisterstadt - Teil 35,1995,36,0.311,0.783,0.822,100.134,Die drei ???
New Moon on Monday,1983,39,0.87,0.67,0.738,122.277,Duran Duran
Vagalumes Cegos,2011,45,0.294,0.615,0.518,89.965,Cícero
Morado,2020,71,0.68,0.885,0.78,97.003,J Balvin
030 - und das Riff der Haie - Teil 05,1982,37,0.708,0.588,0.519,128.628,Die drei ???
